Release 8.1i - Fit P.68d
Copyright(c) 1995-2003 Xilinx Inc. All rights reserved

 4- 9-2018  7:37PM

NOTE: This file is designed to be imported into a spreadsheet program
such as Microsoft Excel for viewing, printing and sorting. The comma ','
character is used as the data field separator.
This file is also designed to support parsing.

Input file:  Main_Code.ngd
output file: Main_Code_pad.csv
Part type:   xc9572
Speed grade: -7
Package:     pc84

Pinout by Pin Number:

-----,-----,-----,-----,-----,-----,-----,-----,-----,-----,
Pin Number,Signal Name,Pin Usage,Pin Name,Direction,IO Standard,IO Bank Number,{blank},Slew Rate,Termination,{blank},Voltage,Constraint,
P1,LED<0>,O,I/O,OUTPUT,,,,,,,,,
P2,LED<1>,O,I/O,OUTPUT,,,,,,,,,
P3,LED<2>,O,I/O,OUTPUT,,,,,,,,,
P4,LED<3>,O,I/O,OUTPUT,,,,,,,,,
P5,ROM_H_Enable,O,I/O,OUTPUT,,,,,,,,,
P6,ROM_H_Output,O,I/O,OUTPUT,,,,,,,,,
P7,TIE,,I/O,,,,,,,,,,
P8,GND,,GND,,,,,,,,,,
P9,CPLD_CLK,GCK,I/O/GCK1,,,,,,,,,,
P10,TIE,,I/O/GCK2,,,,,,,,,,
P11,CPLD_Button,I,I/O,INPUT,,,,,,,,,
P12,CPU_Clock,O,I/O/GCK3,OUTPUT,,,,,,,,,
P13,TIE,,I/O,,,,,,,,,,
P14,DUART_Read_Write,O,I/O,OUTPUT,,,,,,,,,
P15,TIE,,I/O,,,,,,,,,,
P16,GND,,GND,,,,,,,,,,
P17,TIE,,I/O,,,,,,,,,,
P18,DUART_Data_ACK,I,I/O,INPUT,,,,,,,,,
P19,TIE,,I/O,,,,,,,,,,
P20,DUART_Reset,I/O,I/O,BIDIR,,,,,,,,,
P21,TIE,,I/O,,,,,,,,,,
P22,VCC,,VCCIO,,,,,,,,,,
P23,TIE,,I/O,,,,,,,,,,
P24,DUART_Enable,O,I/O,OUTPUT,,,,,,,,,
P25,TIE,,I/O,,,,,,,,,,
P26,TIE,,I/O,,,,,,,,,,
P27,GND,,GND,,,,,,,,,,
P28,TDI,,TDI,,,,,,,,,,
P29,TMS,,TMS,,,,,,,,,,
P30,TCK,,TCK,,,,,,,,,,
P31,TIE,,I/O,,,,,,,,,,
P32,TIE,,I/O,,,,,,,,,,
P33,ROM_L_Enable,O,I/O,OUTPUT,,,,,,,,,
P34,TIE,,I/O,,,,,,,,,,
P35,ROM_L_Output,O,I/O,OUTPUT,,,,,,,,,
P36,TIE,,I/O,,,,,,,,,,
P37,TIE,,I/O,,,,,,,,,,
P38,VCC,,VCCINT,,,,,,,,,,
P39,RAM_H_Enable,O,I/O,OUTPUT,,,,,,,,,
P40,RAM_H_Output,O,I/O,OUTPUT,,,,,,,,,
P41,RAM_H_Input,O,I/O,OUTPUT,,,,,,,,,
P42,GND,,GND,,,,,,,,,,
P43,RAM_L_Enable,O,I/O,OUTPUT,,,,,,,,,
P44,RAM_L_Input,O,I/O,OUTPUT,,,,,,,,,
P45,RAM_L_Output,O,I/O,OUTPUT,,,,,,,,,
P46,CPU_Bus_ERR,O,I/O,OUTPUT,,,,,,,,,
P47,CPU_Valid_Periph_Add,O,I/O,OUTPUT,,,,,,,,,
P48,TIE,,I/O,,,,,,,,,,
P49,GND,,GND,,,,,,,,,,
P50,TIE,,I/O,,,,,,,,,,
P51,CPU_Reset,O,I/O,OUTPUT,,,,,,,,,
P52,TIE,,I/O,,,,,,,,,,
P53,CPU_Halt,O,I/O,OUTPUT,,,,,,,,,
P54,ADDR<0>,I,I/O,INPUT,,,,,,,,,
P55,TIE,,I/O,,,,,,,,,,
P56,TIE,,I/O,,,,,,,,,,
P57,TIE,,I/O,,,,,,,,,,
P58,TIE,,I/O,,,,,,,,,,
P59,TDO,,TDO,,,,,,,,,,
P60,GND,,GND,,,,,,,,,,
P61,TIE,,I/O,,,,,,,,,,
P62,TIE,,I/O,,,,,,,,,,
P63,TIE,,I/O,,,,,,,,,,
P64,VCC,,VCCIO,,,,,,,,,,
P65,TIE,,I/O,,,,,,,,,,
P66,ADDR<1>,I,I/O,INPUT,,,,,,,,,
P67,TIE,,I/O,,,,,,,,,,
P68,ADDR<2>,I,I/O,INPUT,,,,,,,,,
P69,TIE,,I/O,,,,,,,,,,
P70,ADDR<3>,I,I/O,INPUT,,,,,,,,,
P71,TIE,,I/O,,,,,,,,,,
P72,CPU_Bus_REQ,O,I/O,OUTPUT,,,,,,,,,
P73,VCC,,VCCINT,,,,,,,,,,
P74,TIE,,I/O/GSR,,,,,,,,,,
P75,CPU_Bus_Grant_ACK,O,I/O,OUTPUT,,,,,,,,,
P76,TIE,,I/O/GTS1,,,,,,,,,,
P77,TIE,,I/O/GTS2,,,,,,,,,,
P78,VCC,,VCCINT,,,,,,,,,,
P79,TIE,,I/O,,,,,,,,,,
P80,CPU_Data_ACK,O,I/O,OUTPUT,,,,,,,,,
P81,CPU_Read_Write,I,I/O,INPUT,,,,,,,,,
P82,CPU_L_Data_Ready,I,I/O,INPUT,,,,,,,,,
P83,CPU_H_Data_Ready,I,I/O,INPUT,,,,,,,,,
P84,CPU_Add_Valid,I,I/O,INPUT,,,,,,,,,

To preserve the pinout above for future design iterations in
Project Navigator simply execute the (Lock Pins) process
located under the (Implement Design) process in a toolbox named
(Optional Implementation Tools) or invoke PIN2UCF from the
command line. The location constraints will be written into your
specified UCF file


