Release 8.1i - Fit P.68d
Copyright(c) 1995-2003 Xilinx Inc. All rights reserved

 3-20-2018 10:01PM

NOTE: This file is designed to be imported into a spreadsheet program
such as Microsoft Excel for viewing, printing and sorting. The comma ','
character is used as the data field separator.
This file is also designed to support parsing.

Input file:  Main_Code.ngd
output file: Main_Code_pad.csv
Part type:   xc9572
Speed grade: -7
Package:     pc84

Pinout by Pin Number:

-----,-----,-----,-----,-----,-----,-----,-----,-----,-----,
Pin Number,Signal Name,Pin Usage,Pin Name,Direction,IO Standard,IO Bank Number,{blank},Slew Rate,Termination,{blank},Voltage,Constraint,
P1,DUART_Enable,O,I/O,OUTPUT,,,,,,,,,
P2,TIE,,I/O,,,,,,,,,,
P3,TIE,,I/O,,,,,,,,,,
P4,DUART_Read_Write,O,I/O,OUTPUT,,,,,,,,,
P5,ROM_H_Enable,O,I/O,OUTPUT,,,,,,,,,
P6,ROM_H_Output,O,I/O,OUTPUT,,,,,,,,,
P7,TIE,,I/O,,,,,,,,,,
P8,GND,,GND,,,,,,,,,,
P9,CPLD_CLK,GCK,I/O/GCK1,,,,,,,,,,
P10,TIE,,I/O/GCK2,,,,,,,,,,
P11,ROM_L_Enable,O,I/O,OUTPUT,,,,,,,,,
P12,TIE,,I/O/GCK3,,,,,,,,,,
P13,TIE,,I/O,,,,,,,,,,
P14,TIE,,I/O,,,,,,,,,,
P15,TIE,,I/O,,,,,,,,,,
P16,GND,,GND,,,,,,,,,,
P17,TIE,,I/O,,,,,,,,,,
P18,TIE,,I/O,,,,,,,,,,
P19,TIE,,I/O,,,,,,,,,,
P20,TIE,,I/O,,,,,,,,,,
P21,TIE,,I/O,,,,,,,,,,
P22,VCC,,VCCIO,,,,,,,,,,
P23,TIE,,I/O,,,,,,,,,,
P24,TIE,,I/O,,,,,,,,,,
P25,TIE,,I/O,,,,,,,,,,
P26,TIE,,I/O,,,,,,,,,,
P27,GND,,GND,,,,,,,,,,
P28,TDI,,TDI,,,,,,,,,,
P29,TMS,,TMS,,,,,,,,,,
P30,TCK,,TCK,,,,,,,,,,
P31,TIE,,I/O,,,,,,,,,,
P32,TIE,,I/O,,,,,,,,,,
P33,ROM_L_Output,O,I/O,OUTPUT,,,,,,,,,
P34,TIE,,I/O,,,,,,,,,,
P35,TIE,,I/O,,,,,,,,,,
P36,TIE,,I/O,,,,,,,,,,
P37,RAM_H_Enable,O,I/O,OUTPUT,,,,,,,,,
P38,VCC,,VCCINT,,,,,,,,,,
P39,RAM_H_Output,O,I/O,OUTPUT,,,,,,,,,
P40,RAM_H_Input,O,I/O,OUTPUT,,,,,,,,,
P41,RAM_L_Enable,O,I/O,OUTPUT,,,,,,,,,
P42,GND,,GND,,,,,,,,,,
P43,RAM_L_Input,O,I/O,OUTPUT,,,,,,,,,
P44,RAM_L_Output,O,I/O,OUTPUT,,,,,,,,,
P45,TIE,,I/O,,,,,,,,,,
P46,CPU_Clock,O,I/O,OUTPUT,,,,,,,,,
P47,TIE,,I/O,,,,,,,,,,
P48,TIE,,I/O,,,,,,,,,,
P49,GND,,GND,,,,,,,,,,
P50,TIE,,I/O,,,,,,,,,,
P51,TIE,,I/O,,,,,,,,,,
P52,TIE,,I/O,,,,,,,,,,
P53,TIE,,I/O,,,,,,,,,,
P54,ADD<0>,I,I/O,INPUT,,,,,,,,,
P55,TIE,,I/O,,,,,,,,,,
P56,TIE,,I/O,,,,,,,,,,
P57,TIE,,I/O,,,,,,,,,,
P58,TIE,,I/O,,,,,,,,,,
P59,TDO,,TDO,,,,,,,,,,
P60,GND,,GND,,,,,,,,,,
P61,TIE,,I/O,,,,,,,,,,
P62,TIE,,I/O,,,,,,,,,,
P63,TIE,,I/O,,,,,,,,,,
P64,VCC,,VCCIO,,,,,,,,,,
P65,TIE,,I/O,,,,,,,,,,
P66,ADD<1>,I,I/O,INPUT,,,,,,,,,
P67,TIE,,I/O,,,,,,,,,,
P68,ADD<2>,I,I/O,INPUT,,,,,,,,,
P69,TIE,,I/O,,,,,,,,,,
P70,ADD<3>,I,I/O,INPUT,,,,,,,,,
P71,TIE,,I/O,,,,,,,,,,
P72,TIE,,I/O,,,,,,,,,,
P73,VCC,,VCCINT,,,,,,,,,,
P74,TIE,,I/O/GSR,,,,,,,,,,
P75,TIE,,I/O,,,,,,,,,,
P76,TIE,,I/O/GTS1,,,,,,,,,,
P77,TIE,,I/O/GTS2,,,,,,,,,,
P78,VCC,,VCCINT,,,,,,,,,,
P79,TIE,,I/O,,,,,,,,,,
P80,TIE,,I/O,,,,,,,,,,
P81,CPU_Read_Write,I,I/O,INPUT,,,,,,,,,
P82,CPU_L_Data_Ready,I,I/O,INPUT,,,,,,,,,
P83,CPU_H_Data_Ready,I,I/O,INPUT,,,,,,,,,
P84,CPU_Add_Data_Valid,I,I/O,INPUT,,,,,,,,,

To preserve the pinout above for future design iterations in
Project Navigator simply execute the (Lock Pins) process
located under the (Implement Design) process in a toolbox named
(Optional Implementation Tools) or invoke PIN2UCF from the
command line. The location constraints will be written into your
specified UCF file


